Diseases,Symptoms
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
ಮಧುಮೇಹ,"ಇದಕ್ಕಿದಂತೆ ಹೊಟ್ಟೆ ಹಸಿವಾಗುವುದು, ಬಾಯಾರಿಕೆ, ಆಯಾಸ"
ನೆಗಡಿ,"ಕೆಮ್ಮು, ನೋಯುತ್ತಿರುವ ಗಂಟಲು, ಸ್ರವಿಸುವ ಮೂಗು"
ಡೆಂಗ್ಯೂ,"ರಾಶ್, ಕಣ್ಣುಗಳ ಹಿಂದೆ ತೀವ್ರವಾದ ನೋವು,  ವಾಂತಿ, ಸ್ನಾಯು, ಮೂಳೆ ಮತ್ತು ಕೀಲು ನೋವು."
